Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,1000000,2,2264412
2,1075000,1,1155040
3,1150000,1,1353548
4,1225000,1,1466740
5,1300000,1,1506828
6,1375000,1,1603828
7,1450000,1,1707500
8,1525000,1,1623652
9,1600000,1,1831176
10,1675000,1,1811428
11,1750000,1,1847940
12,1825000,2,2012364
13,1900000,1,2005496
14,1975000,2,2120700
15,2050000,2,2078732
16,2125000,2,2307276
17,2200000,2,2348800
18,2275000,2,2536736
19,2350000,2,2427800
20,2425000,2,2827132
21,2500000,2,2817720
22,2575000,2,2733792
23,2650000,2,2808012
24,2725000,2,2944216
25,2800000,2,2887968
26,2875000,2,2998472
27,2950000,3,3170596
28,3025000,3,3202236
29,3100000,3,3468732
30,3175000,3,3585912
31,3250000,3,3355840
32,3325000,3,3787260
33,3400000,3,3650264
34,3475000,4,3935784
35,3550000,3,3817288
36,3625000,4,3895736
37,3700000,4,4151552
38,3775000,4,4233520
39,3850000,4,4221700
40,3925000,4,4172276
