Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
2,1075000,1,1083920
3,1150000,1,1089824
4,1225000,1,1133820
5,1300000,1,1214500
6,1375000,1,1208692
7,1450000,1,1295268
8,1525000,1,1391696
9,1600000,1,1375232
10,1675000,1,1429060
11,1750000,1,1455080
12,1825000,1,1442468
13,1900000,1,1465156
14,1975000,1,1567668
16,2125000,1,1533252
17,2200000,1,1516016
18,2275000,1,1550788
19,2350000,1,1610288
20,2425000,1,1610884
21,2500000,1,1731488
22,2575000,1,1665820
23,2650000,1,1726056
24,2725000,1,1814764
25,2800000,1,1913364
26,2875000,1,1714264
27,2950000,1,1859528
28,3025000,1,1842512
29,3100000,1,1893248
30,3175000,1,1860836
31,3250000,1,1948268
32,3325000,1,1890836
33,3400000,1,1913852
34,3475000,1,1914532
35,3550000,1,1961628
36,3625000,2,2025388
37,3700000,2,2003484
38,3775000,2,1992492
39,3850000,2,2010000
