Name,BitsAmount,AverageCRCTimeMS,AverageCRCTimeNS
1,10000,3,4057830
2,34744,9,8975730
3,59496,16,16220390
4,84248,22,22669240
5,109000,31,31404150
6,133744,47,47894860
7,158496,66,66122720
8,183248,85,85730820
9,208000,113,113566930
10,232744,139,139592930
11,257496,172,172682740
12,282248,203,203567350
13,307000,240,240861370
14,331744,286,286531220
15,356496,313,313139400
16,381248,359,359291950
17,406000,389,389737920
18,430744,400,400595840
19,455496,437,437523390
20,480248,484,484885980
21,505000,537,537446870
22,529744,587,587099730
23,554496,633,633650040
24,579248,706,706306010
25,604000,760,760516580
26,628744,825,825348330
27,653496,890,891000100
28,678248,968,968741850
29,703000,1021,1020961680
30,727744,1097,1097553060
31,752496,1092,1092030360
