Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,10000,0,203256
2,34744,0,344492
3,59496,0,354588
4,84248,0,665404
5,109000,0,213068
6,133744,0,191544
7,158496,0,215660
8,183248,0,192868
9,208000,0,235388
10,232744,0,258532
11,257496,0,373588
12,282248,0,361492
13,307000,0,406424
14,331744,0,469964
15,356496,0,446416
16,381248,0,551488
17,406000,0,476452
18,430744,0,554128
19,455496,0,578928
20,480248,0,650084
21,505000,0,601532
22,529744,0,675416
23,554496,0,762828
24,579248,0,748976
25,604000,0,747740
26,628744,0,773792
27,653496,0,941564
28,678248,0,878092
29,703000,0,952692
30,727744,1,1242772
31,752496,1,1238828
32,777248,0,976840
33,802000,1,966064
34,826744,1,1263840
35,851496,1,1201960
36,876248,1,993724
37,901000,0,1003988
38,925744,1,1068760
39,950496,1,1152984
40,975248,1,1146168
