Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
4,84248,0,62160
5,109000,0,62492
6,133744,0,55412
7,158496,0,84316
8,183248,0,103488
9,208000,0,128120
10,232744,0,183408
11,257496,0,162924
12,282248,0,196972
13,307000,0,221592
14,331744,0,215796
15,356496,0,231864
16,381248,0,272516
17,406000,0,319956
18,430744,0,303628
19,455496,0,320564
20,480248,0,356152
21,505000,0,384056
22,529744,0,392996
23,554496,0,398696
24,579248,0,412580
25,604000,0,410984
26,628744,0,454964
27,653496,0,458248
28,678248,0,475868
29,703000,0,489900
30,727744,0,511488
31,752496,0,532788
32,777248,0,530772
33,802000,0,551088
34,826744,0,577792
35,851496,0,621788
36,876248,0,621872
37,901000,0,636472
38,925744,0,635888
39,950496,0,666284
40,975248,0,683744
