Name,lenght,AverageDualSumTimeMS,AverageDualSumTimeNS
1,100,0,771280
2,495,1,1264559
3,891,2,1486120
4,1287,2,2990673
5,1683,2,1810986
6,2079,3,2749306
7,2475,3,3770153
8,2871,3,3854306
9,3267,5,6059360
10,3663,4,4194653
11,4059,9,8492106
12,4455,7,5837079
13,4851,7,6654566
14,5247,9,10032506
15,5643,8,8156053
16,6039,8,8670786
17,6435,10,10619100
18,6831,10,11726833
19,7227,13,13262460
20,7623,15,14157560
21,8019,16,15684906
22,8415,16,16686593
23,8811,16,18416186
24,9207,20,20104493
25,9603,21,20752613
