BytesAmount,AverageDualSumTimeMS,AverageDualSumTimeNS,AverageCRCTimeMS,AverageCRCTimeNS
1,0,220532,0,123440
36,0,95784,0,16864
40,0,69388,0,656928
44,0,80520,0,191756
48,0,32192,0,36812
51,0,22604,0,13136
55,0,22548,0,26708
59,0,22760,0,90496
63,0,22084,0,6704
67,0,31624,0,8924
71,0,29848,0,8808
4,0,3496,0,1188
75,0,22172,0,19720
79,0,22372,0,41320
83,0,34536,0,184104
87,0,27400,0,8384
91,0,27496,0,11368
95,0,14940,0,7108
8,0,2440,0,712
12,0,2980,0,728
16,0,1672,0,952
20,0,2700,0,1156
24,0,2300,0,1196
28,0,3168,0,34072
32,0,2748,0,1372
